run_name,reward_mode,training_seed,evaluation_seed,topology_seed,goal_reached,terminal_reason,length,native_return,policy_return,hosts_compromised,discovered_hosts,mean_cvss_exploited,max_cvss_exploited,high_value_target_hit,distinct_actions,repeated_actions,tactics,techniques
experiment_01-shaped-s45-t42,shaped,45,1001,42,True,goal,221,-262.0,-735.9275624999998,5,48,7.88,9.8,True,15,24,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1002,42,True,goal,125,-64.0,-125.14381250000004,6,40,7.333333333333333,8.1,False,15,18,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1003,42,True,goal,134,-106.0,-154.4473125,5,40,8.66,9.8,True,15,18,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1004,42,True,goal,60,75.0,18.098937500000005,5,40,6.659999999999999,8.1,False,15,5,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1005,42,True,goal,111,-54.0,-141.362,7,16,7.871428571428572,9.8,True,15,13,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1006,42,True,goal,95,-2.0,-66.64962500000001,6,56,7.716666666666668,8.1,False,15,8,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1007,42,True,goal,84,23.0,-111.90106250000002,5,56,6.659999999999999,8.1,False,15,10,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1008,42,True,goal,98,-2.0,-105.1865,7,56,7.3,8.1,False,15,9,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1009,42,True,goal,122,-48.0,-68.16637500000002,7,56,7.871428571428573,9.8,True,15,14,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
experiment_01-shaped-s45-t42,shaped,45,1010,42,True,goal,228,-324.0,-633.747875,6,112,8.183333333333334,9.8,True,15,17,"[""exploit"", ""privesc"", ""recon""]","[""T1018"", ""T1046"", ""T1057"", ""T1068"", ""T1082"", ""T1210""]"
