run_name,reward_mode,seed,topology_seed,episodes,native_return,native_return_std,native_return_median,success_rate,steps_to_goal,median_steps_to_goal,mean_cvss_exploited,hvt_hit_rate,max_cvss_exploited,hosts_compromised,discovered_hosts,tactic_coverage,total_shaped_return,failure_reasons,converged,convergence_detail
experiment_01-sparse-s42-t42,sparse,42,42,10,-167.1,194.1141989196623,-86.5,1.0,157.3,126.5,8.02947619047619,0.5,9.8,6.0,52.8,0.0,2.7,{},False,"{""checks"": {""no_negative_trend"": true, ""plateaued"": true, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.024, ""normalised_slope"": 0.01385, ""reason"": ""spread_within_threshold"", ""relative_std"": 1.0687, ""window_episodes"": 35, ""window_mean"": -168.143}"
experiment_01-sparse-s43-t42,sparse,43,42,10,-52.5,134.9652218577479,-20.0,1.0,109.2,96.5,7.542833333333332,0.4,9.8,5.4,52.0,0.0,2.5,{},False,"{""checks"": {""no_negative_trend"": true, ""plateaued"": true, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.0993, ""normalised_slope"": 0.000559, ""reason"": ""spread_within_threshold"", ""relative_std"": 0.8512, ""window_episodes"": 39, ""window_mean"": -121.615}"
experiment_01-sparse-s44-t42,sparse,44,42,10,-154.9,127.9239791612364,-131.0,1.0,153.2,142.0,7.809666666666667,0.7,9.8,5.7,45.6,0.0,2.4,{},False,"{""checks"": {""no_negative_trend"": true, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.3252, ""normalised_slope"": 0.036547, ""reason"": ""spread_within_threshold, plateaued"", ""relative_std"": 0.7035, ""window_episodes"": 26, ""window_mean"": -229.0}"
experiment_01-sparse-s45-t42,sparse,45,42,10,-75.2,108.3490245046586,-77.5,1.0,121.3,120.5,8.19452380952381,0.9,9.8,5.6,59.2,0.0,2.7,{},False,"{""checks"": {""no_negative_trend"": true, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.506, ""normalised_slope"": 0.02215, ""reason"": ""spread_within_threshold, plateaued"", ""relative_std"": 0.8804, ""window_episodes"": 29, ""window_mean"": -129.655}"
experiment_01-sparse-s46-t42,sparse,46,42,10,8.7,73.90391660046772,21.0,1.0,88.7,88.0,7.885666666666667,0.6,9.8,5.4,56.0,0.0,2.2,{},False,"{""checks"": {""no_negative_trend"": true, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.1727, ""normalised_slope"": 0.025528, ""reason"": ""spread_within_threshold, plateaued"", ""relative_std"": 1.3962, ""window_episodes"": 37, ""window_mean"": -82.189}"
experiment_01-sparse-s47-t42,sparse,47,42,10,-148.3,159.3738093637443,-168.5,1.0,153.0,164.5,7.865,0.4,9.8,6.2,74.4,0.0,2.2,{},False,"{""checks"": {""no_negative_trend"": false, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.3855, ""normalised_slope"": -0.00729, ""reason"": ""spread_within_threshold, no_negative_trend, plateaued"", ""relative_std"": 0.7444, ""window_episodes"": 31, ""window_mean"": -184.903}"
experiment_01-sparse-s48-t42,sparse,48,42,10,-95.8,132.34449994868191,-114.5,1.0,129.9,140.0,8.052738095238094,0.8,9.8,5.8,56.0,0.0,2.7,{},False,"{""checks"": {""no_negative_trend"": false, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.3393, ""normalised_slope"": -0.008492, ""reason"": ""spread_within_threshold, no_negative_trend, plateaued"", ""relative_std"": 1.3585, ""window_episodes"": 28, ""window_mean"": -97.036}"
experiment_01-sparse-s49-t42,sparse,49,42,10,-115.6,78.93907636765063,-89.0,1.0,138.7,130.0,8.14902380952381,0.8,9.8,5.8,75.2,0.0,2.5,{},False,"{""checks"": {""no_negative_trend"": true, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.6275, ""normalised_slope"": 0.008856, ""reason"": ""spread_within_threshold, plateaued"", ""relative_std"": 1.997, ""window_episodes"": 35, ""window_mean"": -51.686}"
experiment_01-sparse-s50-t42,sparse,50,42,10,-67.6,148.79232357737934,-15.0,1.0,120.5,92.5,8.254,0.9,9.8,5.3,72.0,0.0,2.5,{},False,"{""checks"": {""no_negative_trend"": false, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.2132, ""normalised_slope"": -0.02973, ""reason"": ""spread_within_threshold, no_negative_trend, plateaued"", ""relative_std"": 1.2565, ""window_episodes"": 39, ""window_mean"": -118.59}"
experiment_01-sparse-s51-t42,sparse,51,42,10,-115.1,113.4494013499704,-106.0,1.0,138.7,137.5,8.079190476190476,0.8,9.8,5.8,52.0,0.0,2.9,{},False,"{""checks"": {""no_negative_trend"": true, ""plateaued"": false, ""spread_within_threshold"": false}, ""criterion"": {""max_improvement_ratio"": 0.1, ""max_negative_slope"": 0.0, ""max_relative_std"": 0.35, ""min_episodes"": 10, ""window"": 0.2}, ""improvement_vs_previous_window"": 0.1156, ""normalised_slope"": 0.007589, ""reason"": ""spread_within_threshold, plateaued"", ""relative_std"": 1.3443, ""window_episodes"": 32, ""window_mean"": -135.031}"
