metric,n_pairs,mean_a,mean_b,sd_a,sd_b,median_a,median_b,difference,t_statistic,p_value,p_bonferroni,cohens_d,ci_low,ci_high,significant,assumption_warning
native_return,10,-98.34,-188.9,53.79746379813003,117.19732647690107,-105.44999999999999,-155.95,-90.56,-1.8236030303298492,0.10152127446618475,0.5076063723309238,-0.576673912382744,-194.35,-18.23,False,paired differences fail Shapiro-Wilk normality at alpha=0.05 (p=0.0008628); interpret the paired t-test cautiously
native_return_std,10,127.21554516511995,162.40096817186355,36.17888616762363,76.7145662215754,130.13423955495915,138.50168613579677,35.18542300674359,1.115877366091944,0.2933808608845528,1.0,0.35287140662800864,-12.985043758028553,100.73192920558401,False,paired differences fail Shapiro-Wilk normality at alpha=0.05 (p=0.009213); interpret the paired t-test cautiously
success_rate,10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,nan,nan,1.0,,0.0,0.0,False,
steps_to_goal,10,131.05,177.37,21.74898465062986,50.69874094426146,134.3,162.6,46.32,2.2147936281292924,0.054021077684043635,0.2701053884202182,0.7003792412116536,16.24,90.03,False,paired differences fail Shapiro-Wilk normality at alpha=0.05 (p=0.0005855); interpret the paired t-test cautiously
mean_cvss_exploited,10,7.9862119047619045,7.9880821428571425,0.2132054373361529,0.18872534406947583,8.041107142857143,8.038089285714285,0.0018702380952380082,0.02207330231716108,0.9828711217853292,1.0,0.006980191080370142,-0.16165714285714294,0.1488023809523808,False,
native_return_median,10,-78.7,-167.05,58.155060924317766,117.67952007228975,-87.75,-142.5,-88.35,-1.7158466068751008,0.12032616666462313,,-0.5425983393196847,-193.3,-6.65,False,paired differences fail Shapiro-Wilk normality at alpha=0.05 (p=0.01494); interpret the paired t-test cautiously
median_steps_to_goal,10,123.8,167.0,24.723133566223627,51.89572879020649,128.25,156.75,43.2,1.9903607743891465,0.07775138686779089,,0.6294073412526234,8.8,87.55,False,paired differences fail Shapiro-Wilk normality at alpha=0.05 (p=0.01535); interpret the paired t-test cautiously
hvt_hit_rate,10,0.6799999999999999,0.74,0.19321835661585918,0.15055453054181622,0.75,0.75,0.059999999999999984,0.6689647316224494,0.5203065629049558,,0.21154522262502076,-0.09999999999999999,0.22999999999999998,False,
max_cvss_exploited,10,9.8,9.8,0.0,0.0,9.8,9.8,0.0,nan,nan,,,0.0,0.0,False,
hosts_compromised,10,5.7,5.91,0.282842712474619,0.2846049894151541,5.75,5.9,0.20999999999999996,2.0669629520130774,0.06870116629332601,,0.6536310767546641,0.019999999999999928,0.4000000000000001,False,
discovered_hosts,10,59.52,58.64,10.540588218880387,9.791061683438057,56.0,59.6,-0.8800000000000011,-0.23687125435166656,0.8180602028496489,,-0.07490526759723372,-7.360000000000002,6.239999999999999,False,
tactic_coverage,10,0.0,1.0,0.0,0.0,0.0,1.0,1.0,inf,0.0,,,1.0,1.0,True,
total_shaped_return,10,2.5300000000000002,-411.99092687499996,0.22632326929023938,273.096516204772,2.5,-310.00555625000004,-414.520926875,-4.801674259937277,0.0009714504827744235,,-1.5184227243605188,-595.2295406249999,-294.80564999999996,True,paired differences fail Shapiro-Wilk normality at alpha=0.05 (p=0.0001841); interpret the paired t-test cautiously
